cohort_type,cohort_month,dimension,first_value,m,metric,measure,cohort_size,ltv_per_user
purchase,2024-10-01,category,pom hl,0,any,revenue,3,149.68210720333335
purchase,2024-10-01,category,pom hl,0,any,gm,3,44.001998191712666
purchase,2024-10-01,category,pom hl,1,any,revenue,3,244.8683016
purchase,2024-10-01,category,pom hl,1,any,gm,3,71.99309720082667
purchase,2024-10-01,category,pom hl,2,any,revenue,3,367.3024524
purchase,2024-10-01,category,pom hl,2,any,gm,3,107.98964580124
purchase,2024-10-01,category,pom hl,3,any,revenue,3,489.7366032
purchase,2024-10-01,category,pom hl,3,any,gm,3,143.98619440165334
purchase,2024-10-01,category,pom hl,4,any,revenue,3,294.7320618333333
purchase,2024-10-01,category,pom hl,4,any,gm,3,86.59227976663334
purchase,2024-10-01,category,pom hl,5,any,revenue,3,0.0
purchase,2024-10-01,category,pom hl,5,any,gm,3,0.0
purchase,2024-10-01,category,pom hl,6,any,revenue,3,0.0
purchase,2024-10-01,category,pom hl,6,any,gm,3,0.0
purchase,2024-10-01,category,pom hl,7,any,revenue,3,322.79745693
purchase,2024-10-01,category,pom hl,7,any,gm,3,91.14448685131266
purchase,2024-10-01,category,pom hl,8,any,revenue,3,350.86285202666664
purchase,2024-10-01,category,pom hl,8,any,gm,3,95.696693935992
purchase,2024-10-01,category,pom hl,9,any,revenue,3,378.9282471233333
purchase,2024-10-01,category,pom hl,9,any,gm,3,109.44312445433934
purchase,2024-10-01,category,pom hl,10,any,revenue,3,0.0
purchase,2024-10-01,category,pom hl,10,any,gm,3,0.0
purchase,2024-10-01,category,pom hl,11,any,revenue,3,0.0
purchase,2024-10-01,category,pom hl,11,any,gm,3,0.0
purchase,2024-10-01,category,pom hl,0,same,revenue,3,149.68210720333335
purchase,2024-10-01,category,pom hl,0,same,gm,3,44.001998191712666
purchase,2024-10-01,category,pom hl,1,same,revenue,3,244.8683016
purchase,2024-10-01,category,pom hl,1,same,gm,3,71.99309720082667
